,PostalCode,Borough,Neighbourhood,Latitude,Longitude
0,M5A,Downtown Toronto,Harbourfront,43.63950995556605,-79.38316999610484
1,M5A,Downtown Toronto,Regent Park,43.660690000000045,-79.36030999999997
2,M5B,Downtown Toronto,Ryerson,43.64882109668708,-79.40248627510644
3,M5B,Downtown Toronto,Garden District,43.65794000000005,-79.37561999999997
4,M5C,Downtown Toronto,St. James Town,43.670810000000074,-79.37347999999997
5,M5E,Downtown Toronto,Berczy Park,43.64829993392594,-79.37524996335624
6,M5G,Downtown Toronto,Central Bay Street,43.671406114220744,-79.39020484129829
7,M6G,Downtown Toronto,Christie,43.672977435170715,-79.42207113019298
8,M5H,Downtown Toronto,Adelaide,43.64508599999999,-79.4016225
9,M5H,Downtown Toronto,Richmond,43.64543326500097,-79.40870012881102
10,M5J,Downtown Toronto,Harbourfront East,43.63950995556605,-79.38316999610484
11,M5J,Downtown Toronto,Union Station,43.64564991949922,-79.38036993060764
12,M5K,Downtown Toronto,Design Exchange,43.648189956142986,-79.38011000447203
13,M5K,Downtown Toronto,Toronto Dominion Centre,43.6468467508999,-79.3819558202305
14,M5L,Downtown Toronto,Commerce Court,43.64886600000001,-79.3791405
15,M5L,Downtown Toronto,Victoria Hotel,43.65454998167821,-79.3788700333255
16,M5S,Downtown Toronto,Harbord,43.65999385150102,-79.41710370063068
17,M5S,Downtown Toronto,University of Toronto,43.66774998831461,-79.39863994503438
18,M5T,Downtown Toronto,Chinatown,43.648690000000045,-79.38543999999996
19,M5T,Downtown Toronto,Grange Park,43.65225000000004,-79.39135999999996
20,M5T,Downtown Toronto,Kensington Market,43.65432004385711,-79.40189993003072
21,M5V,Downtown Toronto,CN Tower,43.64175000000006,-79.38652999999994
22,M5V,Downtown Toronto,Bathurst Quay,43.63546000000008,-79.39810999999997
23,M5V,Downtown Toronto,Harbourfront West,43.63950995556605,-79.38316999610484
24,M5V,Downtown Toronto,King and Spadina,43.645437000000015,-79.39514249999999
25,M5V,Downtown Toronto,Railway Lands,43.648690000000045,-79.38543999999996
26,M5V,Downtown Toronto,South Niagara,43.644367530097924,-79.40897422780293
27,M4W,Downtown Toronto,Rosedale,43.67707000000007,-79.38897999999995
28,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.646270826245114,-79.375320294189
29,M4X,Downtown Toronto,Cabbagetown,43.666861430473645,-79.37186665232244
30,M4X,Downtown Toronto,St. James Town,43.670810000000074,-79.37347999999997
31,M5X,Downtown Toronto,First Canadian Place,43.64826396742067,-79.38190953545325
32,M5X,Downtown Toronto,Underground city,43.64958999220976,-79.38220998889143
33,M4Y,Downtown Toronto,Church and Wellesley,43.665687,-79.3809315
